time_s,time_h,C_max,C_center,C_surface,R_m
103440.00000000,28.733333333333,0.249105500004,0.249105500004,0.0623600117973,0.01202
103500.00000000,28.750000000000,0.248950296983,0.248950296983,0.0623391726386,0.01202
103560.00000000,28.766666666667,0.248795359978,0.248795359978,0.0623183900055,0.01202
103620.00000000,28.783333333333,0.248640688333,0.248640688333,0.0622976636073,0.01202
103680.00000000,28.800000000000,0.248486281395,0.248486281395,0.0622769931573,0.01202
103740.00000000,28.816666666667,0.248332138512,0.248332138512,0.0622563783731,0.01202
103800.00000000,28.833333333333,0.248178259037,0.248178259037,0.0622358189766,0.01202
103860.00000000,28.850000000000,0.248024642321,0.248024642321,0.0622153146934,0.01202
103920.00000000,28.866666666667,0.247871287718,0.247871287718,0.0621948652529,0.01202
103980.00000000,28.883333333333,0.247718194586,0.247718194586,0.0621744703885,0.01202
104040.00000000,28.900000000000,0.247565362283,0.247565362283,0.062154129837,0.01202
104100.00000000,28.916666666667,0.247412790168,0.247412790168,0.0621338433385,0.01202
104160.00000000,28.933333333333,0.247260477606,0.247260477606,0.0621136106369,0.01202
104220.00000000,28.950000000000,0.247108423958,0.247108423958,0.062093431479,0.01202
104280.00000000,28.966666666667,0.246956628593,0.246956628593,0.062073305615,0.01202
104340.00000000,28.983333333333,0.246805090877,0.246805090877,0.0620532327981,0.01202
104400.00000000,29.000000000000,0.246653810181,0.246653810181,0.0620332127847,0.01202
104460.00000000,29.016666666667,0.246502785875,0.246502785875,0.0620199672632,0.0120199674074
104520.00000000,29.033333333333,0.246352017323,0.246352017323,0.0620144819414,0.0120198725926
104580.00000000,29.050000000000,0.246201503895,0.246201503895,0.0620134490814,0.01201972
104640.00000000,29.066666666667,0.246051244967,0.246051244967,0.062015279256,0.0120195140741
104700.00000000,29.083333333333,0.245901239913,0.245901239913,0.0620189557914,0.0120192592593
104760.00000000,29.100000000000,0.245751488116,0.245751488116,0.0620237468501,0.01201896
104820.00000000,29.116666666667,0.245601988956,0.245601988956,0.0620290880526,0.0120186207407
104880.00000000,29.133333333333,0.245452741818,0.245452741818,0.0620345238197,0.0120182459259
104940.00000000,29.150000000000,0.24530374609,0.24530374609,0.0620396742195,0.01201784
105000.00000000,29.166666666667,0.245155001161,0.245155001161,0.0620442145801,0.0120174074074
105060.00000000,29.183333333333,0.245006506422,0.245006506422,0.062047862153,0.0120169525926
105120.00000000,29.200000000000,0.244858261266,0.244858261266,0.0620503669623,0.01201648
